,Tree_number,Tree_species,Variable,Instrument,Value,...6,* Please note that the values for DBHs should be an average of two measurements taken at 90 degrees from each other.
48,3,eastern white pine (Pinus strobus),DBH,Biltmore stick,50.8,cm,NA
49,3,eastern white pine (Pinus strobus),DBH,Calipers,80.645,cm,NA
50,3,eastern white pine (Pinus strobus),Height,Clinometer,24.025,m,NA
51,6,sugar maple (Acer saccharum),DBH,Calipers,19.304,cm,NA
52,6,sugar maple (Acer saccharum),DBH,Diameter tape,64.7,cm,NA
53,6,sugar maple (Acer saccharum),Height,Staff hypsometer,17.3,m,NA
54,6,sugar maple (Acer saccharum),DBH,Biltmore stick,22.5,cm,NA
55,6,sugar maple (Acer saccharum),Height,Clinometer,21.483,m,NA
56,8,black birch (Betula lenta),DBH,Calipers,32.7cm,NA,NA
57,8,black birch (Betula lenta),DBH,Diameter tape,32.5cm,NA,NA
58,8,black birch (Betula lenta),Height,Clinometer,NA,NA,NA
59,8,black birch (Betula lenta),Height,Staff hypsometer,18.8m,NA,NA
60,8,black birch (Betula lenta),DBH,Biltmore stick,34cm,NA,NA
61,2,black birch (Betula lenta),DBH,Calipers,11.6 in.,NA,NA
62,2,black birch (Betula lenta),DBH,Diameter tape,31.6 cm,NA,NA
63,2,black birch (Betula lenta),Height,Clinometer,NA,NA,NA
64,2,black birch (Betula lenta),Height,Staff hypsometer,13.86 m,NA,NA
65,2,black birch (Betula lenta),DBH,Biltmore stick,27.5 cm,NA,NA
66,15,eastern white pine (Pinus strobus),DBH,Calipers,21.15 in,NA,NA
67,15,eastern white pine (Pinus strobus),DBH,Biltmore stick,20.9 in,NA,NA
68,15,eastern white pine (Pinus strobus),DBH,Diameter tape,56.1 cm,NA,NA
69,15,eastern white pine (Pinus strobus),Height,Staff hypsometer,24.3 m,NA,NA
70,15,eastern white pine (Pinus strobus),Height,Clinometer,NA,NA,NA
71,16,sugar maple (Acer saccharum),DBH,Calipers,2.6 in,NA,NA
72,16,sugar maple (Acer saccharum),DBH,Diameter tape,7.7 mm,NA,NA
73,16,sugar maple (Acer saccharum),DBH,Biltmore stick,7.5 in,NA,NA
74,16,sugar maple (Acer saccharum),Height,Staff hypsometer,9.54 m,NA,NA
75,16,sugar maple (Acer saccharum),Height,Clinometer,NA,NA,NA
76,1,red maple (Acer rubrum),DBH,Diameter tape,26.8,Cm,NA
77,1,red maple (Acer rubrum),DBH,Calipers,22.35,Cm,NA
78,1,red maple (Acer rubrum),DBH,Biltmore stick,26,Cm,NA
79,1,red maple (Acer rubrum),Height,Staff hypsometer,20.82,M,NA
80,1,red maple (Acer rubrum),Height,Clinometer,19.5,M,NA
81,2,red oak (Quercus rubra),DBH,Diameter tape,30.5,Cm,NA
82,2,red oak (Quercus rubra),DBH,Biltmore stick,30,Cm,NA
83,2,red oak (Quercus rubra),DBH,Calipers,29.85,Cm,NA
84,2,red oak (Quercus rubra),Height,Staff hypsometer,26.37,M,NA
85,2,red oak (Quercus rubra),Height,Clinometer,18.3,M,NA
86,1,sugar maple (Acer saccharum),DBH,Calipers,8.1,NA,NA
87,1,sugar maple (Acer saccharum),DBH,Biltmore stick,8.9,NA,NA
88,1,sugar maple (Acer saccharum),DBH,Diameter tape,20.5,NA,NA
89,2,eastern white pine (Pinus strobus),DBH,Calipers,14.95,NA,NA
90,2,eastern white pine (Pinus strobus),DBH,Biltmore stick,37.5,NA,NA
91,2,eastern white pine (Pinus strobus),DBH,Diameter tape,39.2,NA,NA
92,3,black birch (Betula lenta),DBH,Calipers,12.75,NA,NA
93,3,black birch (Betula lenta),DBH,Biltmore stick,31,NA,NA
94,3,black birch (Betula lenta),DBH,Diameter tape,33,NA,NA
95,4,quaking aspen (Populous tremuloides),DBH,Calipers,9.45,NA,NA
96,4,quaking aspen (Populous tremuloides),DBH,Biltmore stick,22.5,NA,NA
97,4,quaking aspen (Populous tremuloides),DBH,Diameter tape,24.3,NA,NA
98,5,red maple (Acer rubrum),DBH,Calipers,28.5,NA,NA
99,5,red maple (Acer rubrum),DBH,Biltmore stick,67.5,NA,NA
100,5,red maple (Acer rubrum),DBH,Diameter tape,73.5,NA,NA
101,3,eastern white pine (Pinus strobus),DBH,Calipers,0.8,NA,NA
102,3,eastern white pine (Pinus strobus),DBH,Diameter tape,0.83,NA,NA
103,3,eastern white pine (Pinus strobus),Height,Clinometer,30.7,NA,NA
104,3,eastern white pine (Pinus strobus),Height,Staff hypsometer,28.8,NA,NA
105,3,eastern white pine (Pinus strobus),DBH,Biltmore stick,0.85,NA,NA
106,1,white ash (Fraxinus americana),DBH,Calipers,0.15,NA,Effectively dead :(
107,1,white ash (Fraxinus americana),DBH,Diameter tape,0.155,NA,Effectively dead :(
108,1,white ash (Fraxinus americana),DBH,Biltmore stick,0.14,NA,Effectively dead :(
109,1,white ash (Fraxinus americana),Height,Clinometer,17.1,NA,Effectively dead :(
110,1,white ash (Fraxinus americana),Height,Staff hypsometer,23,NA,Effectively dead :(
111,4,eastern hemlock (Tsuga canadensis),DBH,Diameter tape,0.39,NA,NA
112,4,eastern hemlock (Tsuga canadensis),DBH,Calipers,0.48,NA,NA
113,4,eastern hemlock (Tsuga canadensis),Height,Staff hypsometer,16.3,NA,NA
114,4,eastern hemlock (Tsuga canadensis),Height,Clinometer,12.1,NA,NA
115,4,eastern hemlock (Tsuga canadensis),DBH,Biltmore stick,0.45,NA,NA
