"","Tree_number","Tree_species","Variable","Instrument","Value"
"113",9,"shagbark hickory (Carya ovata)","Height","Staff hypsometer","7"
"114",9,"shagbark hickory (Carya ovata)","Height","Clinometer","4.8"
"115",11,"white ash (Fraxinus americana)","DBH","Calipers","28"
"116",11,"white ash (Fraxinus americana)","DBH","Diameter tape","29"
"117",11,"white ash (Fraxinus americana)","DBH","Biltmore stick","25"
"118",11,"white ash (Fraxinus americana)","Height","Staff hypsometer","22.2"
"119",11,"white ash (Fraxinus americana)","Height","Clinometer","6.003"
"120",12,"red oak (Quercus rubra)","DBH","Diameter tape","31"
"121",12,"red oak (Quercus rubra)","DBH","Biltmore stick","32.5"
"122",12,"red oak (Quercus rubra)","DBH","Calipers","30.48"
"123",12,"red oak (Quercus rubra)","Height","Staff hypsometer","16.86"
"124",12,"red oak (Quercus rubra)","Height","Clinometer","18.467"
"125",4,"eastern hemlock (Tsuga canadensis)","DBH","Diameter tape","39"
"126",4,"eastern hemlock (Tsuga canadensis)","DBH","Biltmore stick","44"
"127",4,"eastern hemlock (Tsuga canadensis)","DBH","Calipers","38.35"
"128",4,"eastern hemlock (Tsuga canadensis)","Height","Staff hypsometer",NA
"129",4,"eastern hemlock (Tsuga canadensis)","Height","Clinometer","8.2"
"130",1,"eastern white pine (Pinus strobus)","DBH","Diameter tape","37.2"
"131",1,"eastern white pine (Pinus strobus)","DBH","Calipers","35.6"
"132",1,"eastern white pine (Pinus strobus)","Height","Clinometer","25.65"
"133",1,"eastern white pine (Pinus strobus)","Height","Staff hypsometer","26"
"134",1,"eastern white pine (Pinus strobus)","Height","Staff hypsometer",NA
"135",2,"black birch (Betula lenta)","Height","Clinometer","24.92"
"136",2,"black birch (Betula lenta)","DBH","Diameter tape","33"
"137",2,"black birch (Betula lenta)","DBH","Calipers","31"
"138",2,"black birch (Betula lenta)","Height","Biltmore stick",NA
"139",2,"black birch (Betula lenta)","Height","Staff hypsometer",NA
"140",3,"red oak (Quercus rubra)","DBH","Biltmore stick","40"
"141",3,"red oak (Quercus rubra)","DBH","Diameter tape","41"
"142",3,"red oak (Quercus rubra)","DBH","Calipers","38.1"
"143",3,"red oak (Quercus rubra)","Height","Staff hypsometer","19"
"144",3,"red oak (Quercus rubra)","Height","Clinometer","16.4"
